phone_number,name,formatted_address,website,rating,user_ratings_total,business_status,types
,Seattle Lighting,"1882 136th Pl NE, Bellevue, WA 98005, United States",,4,143,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Garden d’Lights,"12001 Main St, Bellevue, WA 98005, United States",,4.6,542,OPERATIONAL,"tourist_attraction, park, point_of_interest, establishment"
,High-Strung Christmas Lights,"431 Ave H, Snohomish, WA 98290, United States",,5,116,OPERATIONAL,"general_contractor, store, point_of_interest, establishment"
,Pacific Lamp & Supply Company,"5935 4th Ave S, Seattle, WA 98108, United States",,4.9,54,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Harold's Lighting,"1912 N 45th St, Seattle, WA 98103, United States",,4.5,78,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Bellevue Lighting - Innovative Stage Systems,"879 Rainier Ave N Suite A100, Renton, WA 98057, United States",,5,45,OPERATIONAL,"home_goods_store, general_contractor, store, point_of_interest, establishment"
,The Lighting Group,"1201 S Bailey St, Seattle, WA 98108, United States",,4.5,6,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,4040 House,"4040 47th Ave SW, Seattle, WA 98116, United States",,5,3,OPERATIONAL,"tourist_attraction, point_of_interest, establishment"
,Visual Comfort & Co.,"1944 1st Ave S, Seattle, WA 98134, United States",,4.7,26,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,LightArt,"4770 Ohio Ave S Ste B, Seattle, WA 98134, United States",,4.3,17,OPERATIONAL,"point_of_interest, establishment"
,Seattle Lighting,"1811 Hewitt Ave, Everett, WA 98201, United States",,4.5,79,OPERATIONAL,"home_goods_store, store, point_of_interest, establishment"
,Lights Inc,"120 NW Canal St, Seattle, WA 98107, United States",,5,9,OPERATIONAL,"electrician, point_of_interest, establishment"
,The Lights of Christmas,"20800 Marine Dr, Stanwood, WA 98292, United States",,4.6,966,OPERATIONAL,"point_of_interest, establishment"
